Row Labels,CDC,DIP,DYC,DYC Plus,DYC Star,DYCC,ED,ED Sh,Felxi DYC,Flexi DYC,MFF,My3C,Oocyte Freezing,PPC,SCC,SDYC,Super DYC,Collection
Apr-19,,3,47,38,2,15,12,2,,,1,3,,14,1,28,,258.50803
Apr-20,,,,2,,,,,,,,,,,,,,3.521850025
Apr-21,,5,5,13,,20,3,1,,,,,,1,5,,24,138.6304744
Apr-22,12,102,61,90,,64,13,,,1,,1,,15,19,,48,176.53556
Aug-19,,2,30,12,1,5,13,4,,,,1,1,11,14,,72,277.12445
Aug-20,,2,25,12,3,,4,1,,,,1,,8,5,,36,151.98804
Aug-21,3,10,33,11,,13,6,1,,6,,1,,9,17,,14,175.55504
Aug-22,4,8,31,18,,14,6,,,,,,,5,4,,6,149.26444
Dec-19,2,1,22,20,,15,10,,,,,3,,2,6,2,68,301.13631
Dec-20,,5,31,22,1,20,8,1,,,,2,,3,13,,42,236.55922
Dec-21,1,9,34,13,,10,10,2,,1,,1,,10,8,,17,165.09468
Feb-20,1,,31,23,1,7,6,4,,,,2,,9,12,4,63,244.88771
Feb-21,,5,29,12,,15,7,,,,,1,,7,17,1,29,224.83174
Feb-22,,16,28,23,,8,4,,,,,,,2,8,,12,158.6613
Jan-20,,,15,18,2,19,12,4,,,,,,,9,3,88,283.69123
Jan-21,,3,41,11,,24,8,1,,,,,,6,11,1,39,221.06506
Jan-22,1,10,37,11,1,7,12,1,,,,1,,5,7,,25,164.82209
Jul-19,,7,35,37,2,14,14,3,,,,2,,14,8,11,60,325.91253
Jul-20,,4,20,20,1,2,3,,,,,,,1,1,,28,134.02307
Jul-21,,6,28,11,,17,5,1,,3,,1,,9,16,,11,170.97152
Jul-22,,14,19,18,,22,3,,,,,,,4,3,,3,146.89156
Jun-19,,3,32,31,1,9,7,3,,,,1,,6,9,44,,264.2022
Jun-20,,2,7,8,1,,3,,,,,,,,3,,31,93.30408
Jun-21,2,5,21,4,,12,6,,,1,,,,2,2,,11,119.34906
Jun-22,4,43,103,60,,56,13,,,,,4,,12,32,,6,146.99931
Mar-20,,5,14,21,1,5,6,3,,,,1,,11,3,1,61,213.03314
Mar-21,,6,34,11,,22,4,2,,,,1,,10,16,1,28,201.81583
Mar-22,1,12,27,15,,15,3,4,,,,1,,5,8,,7,171.9384
May-19,,6,52,30,1,11,9,4,,,,1,1,2,5,30,,260.71808
May-20,,,,,,,,,,,,,,,,,8,34.0307
May-21,,,3,,,3,,1,,,,1,,3,8,,5,62.91676
May-22,,74,149,55,,90,22,2,,1,,6,,20,21,,40,142.87644
Nov-19,,8,31,21,,10,10,4,,,,1,,13,13,,76,290.74239
Nov-20,,9,13,16,,15,3,3,,,,1,,4,14,,18,169.52698
Nov-21,,6,31,19,,18,6,4,,,,1,,3,5,,11,163.56266
Nov-22,2,7,13,24,,15,1,,,,,,,12,5,,1,133.62129
Oct-19,,,28,23,1,15,10,3,,,,1,,11,7,,51,240.01839
Oct-20,1,5,17,15,,2,7,,,,,,,2,9,,49,192.38781
Oct-21,1,13,29,10,,11,8,1,,1,,1,,4,14,2,8,147.27766
Oct-22,3,13,23,6,,15,7,,,,,2,,3,4,,7,131.9582
Sep-19,,2,26,34,,6,9,5,,,,1,,2,8,1,77,305.17137
Sep-20,,2,10,23,1,2,2,1,,,,,,7,7,,17,121.92276
Sep-21,2,8,29,13,,8,3,,,,,,,7,15,,13,163.47437
Sep-22,4,13,19,14,,10,3,,,,,,,3,4,,6,125.33558
